District,Code,Estimate,Prevalence_%,Prevalence_LCL,Prevalence_UCL,NoPLHIV,NoPLHIV_LCL,NoPLHIV_UCL,NoPNLHIV
Buffalo City,BUF,Survey,13.6,10.268,16.932,102437,77340,127534,650776
Buffalo City,BUF,Fay-Heriott,13.501284,11.031605,16.421803,101693,83092,123691,651516
City of Cape Town,CPT,Survey,5.2,3.044,7.356,200751,117517,283985,3659845
City of Cape Town,CPT,Fay-Heriott,6.0200424,4.3350716,8.303091,232409,167359,320548,3628178
West Coast,DC1,Survey,2.7,0.0,5.444,11302,0,22789,407290
West Coast,DC1,Fay-Heriott,4.0883193,2.414351,6.841548,17114,10107,28639,401493
Cacadu,DC10,Survey,7.6,3.484,11.716,34732,15922,53542,422268
Cacadu,DC10,Fay-Heriott,8.912387,6.1450105,12.756646,40729,28083,58298,416264
Amatole,DC12,Survey,11.0,7.276,14.724,98884,65407,132361,800061
Amatole,DC12,Fay-Heriott,11.878609,9.090702,15.376883,106783,81721,138230,792169
Chris Hani,DC13,Survey,14.3,10.184,18.416,114849,81792,147906,688290
Chris Hani,DC13,Fay-Heriott,14.080982,11.18122,17.583893,113090,89801,141224,690049
Joe Gqabi,DC14,Survey,10.7,7.956,13.444,37766,28081,47451,315187
Joe Gqabi,DC14,Fay-Heriott,11.507804,9.291766,14.169794,40618,32796,50013,312342
O.R. Tambo,DC15,Survey,11.8,8.468,15.132,160352,115073,205631,1198563
O.R. Tambo,DC15,Fay-Heriott,12.317316,9.771988,15.412383,167382,132793,209441,1191534
Xhariep,DC16,Survey,8.3,6.144,10.456,11777,8718,14836,130114
Xhariep,DC16,Fay-Heriott,8.96307,7.1878233,11.124214,12718,10199,15784,129175
Lejweleputswa,DC18,Survey,20.3,13.44,27.16,123868,82009,165727,486319
Lejweleputswa,DC18,Fay-Heriott,17.628286,13.677049,22.424488,107566,83456,136832,502623
Thabo Mofutsanyana,DC19,Survey,15.9,12.96,18.84,115006,93741,136271,608302
Thabo Mofutsanyana,DC19,Fay-Heriott,15.684727,13.455231,18.205933,113449,97323,131685,609859
Cape Winelands,DC2,Survey,3.8,0.468,7.132,30706,3782,57630,777346
Cape Winelands,DC2,Fay-Heriott,5.526056,3.417588,8.81659,44653,27616,71242,763391
Fezile Dabi,DC20,Survey,9.0,6.256,11.744,45550,31662,59438,460561
Fezile Dabi,DC20,Fay-Heriott,10.030754,7.8113084,12.7933035,50767,39534,64748,455346
Ugu,DC21,Survey,19.5,17.736,21.264,142979,130045,155913,590246
Ugu,DC21,Fay-Heriott,19.409206,18.02083,20.877304,142314,132134,153078,590915
uMgungundlovu,DC22,Survey,21.0,15.512,26.488,221073,163299,278847,831655
uMgungundlovu,DC22,Fay-Heriott,19.939215,16.293882,24.16466,209906,171531,254389,842823
uThukela,DC23,Survey,17.3,9.46,25.14,118124,64593,171655,564673
uThukela,DC23,Fay-Heriott,16.922905,12.362156,22.729843,115549,84408,155199,567247
uMzinyathi,DC24,Survey,18.2,16.632,19.768,93587,85524,101650,420627
uMzinyathi,DC24,Fay-Heriott,18.097578,16.845087,19.421446,93061,86620,99868,421156
Amajuba,DC25,Survey,16.2,13.26,19.14,82210,67290,97130,425259
Amajuba,DC25,Fay-Heriott,15.963584,13.736043,18.474997,81010,69706,93755,426457
Zululand,DC26,Survey,20.8,17.468,24.132,171411,143952,198870,652680
Zululand,DC26,Fay-Heriott,20.384918,17.926584,23.085546,167990,147731,190246,656099
uMkhanyakude,DC27,Survey,13.5,8.992,18.008,86131,57369,114893,551876
uMkhanyakude,DC27,Fay-Heriott,14.304156,11.02197,18.362032,91262,70321,117152,546748
uThungulu,DC28,Survey,17.3,12.204,22.396,162238,114448,210028,775553
uThungulu,DC28,Fay-Heriott,17.091745,13.602836,21.255356,160285,127566,199331,777506
iLembe,DC29,Survey,12.4,0.64,24.16,78178,4035,152321,552289
iLembe,DC29,Fay-Heriott,14.948202,9.643026,22.44698,94243,60796,141520,536220
Overberg,DC3,Survey,6.25,0.0,14.222997,17039,0,38775,255585
Overberg,DC3,Fay-Heriott,7.389235,4.4571247,12.007806,20145,12151,32736,252481
Gert Sibande,DC30,Survey,19.7,17.936,21.464,208067,189436,226698,848110
Gert Sibande,DC30,Fay-Heriott,19.604387,18.218027,21.069067,207057,192415,222527,849119
Nkangala,DC31,Survey,9.3,7.34,11.26,126270,99658,152882,1231471
Nkangala,DC31,Fay-Heriott,9.708283,8.086493,11.614233,131814,109794,157692,1225933
Ehlanzeni,DC32,Survey,16.4,10.324,22.476,281104,176959,385249,1432944
Ehlanzeni,DC32,Fay-Heriott,15.82096,12.012425,20.554907,271179,205899,352321,1442869
Mopani,DC33,Survey,11.4,5.52,17.28,87968,42595,133341,683681
Mopani,DC33,Fay-Heriott,11.294971,7.921185,15.858237,87157,61123,122369,684487
Vhembe,DC34,Survey,5.3,0.204,10.396,70373,2709,138037,1257419
Vhembe,DC34,Fay-Heriott,7.726616,4.791527,12.228692,102593,63621,162371,1225193
Capricorn,DC35,Survey,9.2,4.3,14.1,116351,54381,178321,1148333
Capricorn,DC35,Fay-Heriott,9.736085,6.7435536,13.859233,123131,85285,175276,1141555
Waterberg,DC36,Survey,10.1,7.16,13.04,71577,50742,92412,637106
Waterberg,DC36,Fay-Heriott,10.379254,8.166963,13.105296,73556,57878,92875,635126
Bojanala Platinum,DC37,Survey,13.6,10.856,16.344,212904,169947,255861,1352566
Bojanala Platinum,DC37,Fay-Heriott,13.588669,11.466617,16.032322,212727,179507,250982,1352746
Ngaka Modiri Molema,DC38,Survey,13.8,8.9,18.7,117661,75883,159439,734954
Ngaka Modiri Molema,DC38,Fay-Heriott,12.927391,9.828126,16.821674,110221,83796,143424,742394
Dr Ruth Segomotsi Mompati,DC39,Survey,10.9,6.588,15.212,51450,31096,71804,420568
Dr Ruth Segomotsi Mompati,DC39,Fay-Heriott,11.045235,8.164344,14.77909,52136,38538,69761,419886
Eden,DC4,Survey,4.3,1.948,6.652,25191,11412,38970,560646
Eden,DC4,Fay-Heriott,5.317398,3.5870085,7.814874,31151,21014,45782,554680
Dr Kenneth Kaunda,DC40,Survey,14.5,11.56,17.44,102584,81784,123384,604891
Dr Kenneth Kaunda,DC40,Fay-Heriott,14.125005,11.923567,16.656029,99931,84357,117838,607544
Sedibeng,DC42,Survey,21.6,12.584,30.616,197713,115186,280240,717624
Sedibeng,DC42,Fay-Heriott,17.087118,12.668672,22.646963,156405,115961,207296,758933
Sisonke,DC43,Survey,21.1,13.064,29.136,99572,61650,137494,372333
Sisonke,DC43,Fay-Heriott,19.267948,14.64481,24.92437,90926,69109,117619,380976
Alfred Nzo,DC44,Survey,12.7,6.036,19.364,104363,49601,159125,717392
Alfred Nzo,DC44,Fay-Heriott,12.795141,8.876244,18.100565,105145,72941,148742,716612
John Taolo Gaetsewe,DC45,Survey,8.8,4.096,13.504,20323,9460,31186,210620
John Taolo Gaetsewe,DC45,Fay-Heriott,7.9873943,5.4641066,11.533757,18446,12619,26636,212492
Sekhukhune,DC47,Survey,7.0,3.08,10.92,77489,34095,120883,1029496
Sekhukhune,DC47,Fay-Heriott,8.893105,6.0662575,12.856948,98446,67153,142325,1008546
West Rand,DC48,Survey,7.1,0.828,13.372,60313,7034,113592,789165
West Rand,DC48,Fay-Heriott,11.193369,7.100791,17.207806,95085,60320,146177,754391
Central Karoo,DC5,Survey,25.0,9.054007,40.945995,17808,6449,29167,53424
Central Karoo,DC5,Fay-Heriott,12.059893,8.05024,17.68261,8590,5734,12596,62637
Namakwa,DC6,Survey,2.8,0.448,5.152,3317,531,6103,115147
Namakwa,DC6,Fay-Heriott,1.5840316,0.8311137,2.998406,1876,984,3552,116555
Pixley ka Seme,DC7,Survey,5.0,3.432,6.568,9501,6521,12481,180519
Pixley ka Seme,DC7,Fay-Heriott,5.7203007,4.3817286,7.4359913,10870,8326,14130,179154
Siyanda,DC8,Survey,5.6,3.052,8.148,13673,7452,19894,230487
Siyanda,DC8,Fay-Heriott,5.962971,4.197052,8.406705,14559,10247,20525,229597
Frances Baard,DC9,Survey,12.4,4.952,19.848,47040,18786,75294,332314
Frances Baard,DC9,Fay-Heriott,10.851508,7.37781,15.6837845,41165,27988,59497,338183
Ekurhuleni,EKU,Survey,14.3,9.792,18.808,462059,316397,607721,2769122
Ekurhuleni,EKU,Fay-Heriott,13.678907,10.647291,17.405571,441990,344033,562405,2789189
eThekwini,ETH,Survey,14.5,10.776,18.224,502310,373303,631317,2961896
eThekwini,ETH,Fay-Heriott,14.537772,11.791222,17.795017,503618,408472,616456,2960585
City of Johannesburg,JHB,Survey,11.1,7.964,14.236,515387,369778,660996,4127738
City of Johannesburg,JHB,Fay-Heriott,11.075306,8.760104,13.909111,514241,406743,645818,4128890
Mangaung,MAN,Survey,7.9,4.764,11.036,87676,52872,122480,1022146
Mangaung,MAN,Fay-Heriott,9.147425,6.7259164,12.325536,101520,74646,136792,1008300
Nelson Mandela Bay Metro,NMA,Survey,8.3,3.4,13.2,97459,39923,154995,1076745
Nelson Mandela Bay Metro,NMA,Fay-Heriott,9.05406,6.1287026,13.179704,106313,71964,154757,1067889
City of Tshwane,TSH,Survey,11.7,7.388,16.012,361450,228239,494661,2727866
City of Tshwane,TSH,Fay-Heriott,11.024858,8.255935,14.574909,340593,255052,450265,2748725
